========== 节点路由表: NJ-JiS-E16&17-FW-3.DMZ.F5000 ==========
生成时间: 2025-12-02 14:35:32


---------- VRF: default (IPv4) ----------
NETWORK              NEXT_HOP             INTERFACE       CONNECTED  DEFAULT_GW
--------------------------------------------------------------------------------
132.224.0.0/11       192.168.1.4          Reth4           false      false     
192.168.32.0/19      192.168.1.4          Reth4           false      false     
192.168.16.0/20      192.168.1.4          Reth4           false      false     
192.168.8.0/21       192.168.1.4          Reth4           false      false     
192.168.4.0/22       192.168.1.4          Reth4           false      false     
192.168.2.0/23       192.168.1.4          Reth4           false      false     
11.0.0.0/24          192.168.0.4          Reth3           false      false     
192.168.20.0/24      192.168.0.4          Reth3           false      false     
15.32.3.4/30         192.168.0.4          Reth3           false      false     
172.16.100.16/30     192.168.0.4          Reth3           false      false     
192.168.0.40/30      192.168.0.4          Reth3           false      false     
192.168.0.44/30      192.168.0.4          Reth3           false      false     
15.32.6.60/31        192.168.0.4          Reth3           false      false     
10.10.10.2/32        192.168.0.4          Reth3           false      false     
10.149.14.170/32     192.168.1.4          Reth4           false      false     
10.149.14.172/32     192.168.1.4          Reth4           false      false     
11.0.0.2/32          192.168.0.4          Reth3           false      false     
15.0.48.10/32        192.168.0.4          Reth3           false      false     
15.0.48.11/32        192.168.0.4          Reth3           false      false     
15.0.48.12/32        192.168.0.4          Reth3           false      false     
15.0.48.13/32        192.168.0.4          Reth3           false      false     
15.0.48.14/32        192.168.0.4          Reth3           false      false     
15.0.48.15/32        192.168.0.4          Reth3           false      false     
15.0.48.16/32        192.168.0.4          Reth3           false      false     
15.1.165.5/32        192.168.0.4          Reth3           false      false     
15.1.165.7/32        192.168.0.4          Reth3           false      false     
15.1.165.8/32        192.168.0.4          Reth3           false      false     
15.1.165.9/32        192.168.0.4          Reth3           false      false     
15.5.194.81/32       192.168.0.4          Reth3           false      false     
15.5.194.82/32       192.168.0.4          Reth3           false      false     
15.5.194.83/32       192.168.0.4          Reth3           false      false     
15.5.194.84/32       192.168.0.4          Reth3           false      false     
17.32.32.32/32       192.168.0.4          Reth3           false      false     
17.32.32.48/32       192.168.0.4          Reth3           false      false     
17.32.32.58/32       192.168.0.4          Reth3           false      false     
17.66.66.48/32       192.168.0.4          Reth3           false      false     
17.66.66.58/32       192.168.0.4          Reth3           false      false     
17.77.105.1/32       192.168.0.4          Reth3           false      false     
25.200.24.183/32     192.168.0.4          Reth3           false      false     
26.120.76.65/32      192.168.0.4          Reth3           false      false     
26.200.4.53/32       192.168.0.4          Reth3           false      false     
28.200.253.242/32    192.168.0.4          Reth3           false      false     
32.0.193.60/32       192.168.0.4          Reth3           false      false     
66.3.41.25/32        192.168.0.4          Reth3           false      false     
66.3.41.29/32        192.168.0.4          Reth3           false      false     
66.3.41.58/32        192.168.0.4          Reth3           false      false     
66.6.93.34/32        192.168.0.4          Reth3           false      false     
66.6.94.80/32        192.168.0.4          Reth3           false      false     
66.6.95.85/32        192.168.0.4          Reth3           false      false     
88.40.6.34/32        192.168.0.4          Reth3           false      false     
88.40.6.36/32        192.168.0.4          Reth3           false      false     
88.40.32.13/32       192.168.0.4          Reth3           false      false     
88.40.32.15/32       192.168.0.4          Reth3           false      false     
88.40.32.23/32       192.168.0.4          Reth3           false      false     
88.40.32.151/32      192.168.0.4          Reth3           false      false     
88.40.32.153/32      192.168.0.4          Reth3           false      false     
88.40.32.177/32      192.168.0.4          Reth3           false      false     
88.40.32.178/32      192.168.0.4          Reth3           false      false     
88.40.64.137/32      192.168.0.4          Reth3           false      false     
88.40.89.10/32       192.168.0.4          Reth3           false      false     
88.40.89.20/32       192.168.0.4          Reth3           false      false     
88.40.89.21/32       192.168.0.4          Reth3           false      false     
100.100.100.37/32    192.168.0.4          Reth3           false      false     
100.100.100.39/32    192.168.0.4          Reth3           false      false     
100.100.100.114/32   192.168.0.4          Reth3           false      false     
100.100.100.131/32   192.168.0.4          Reth3           false      false     
108.2.2.59/32        192.168.0.4          Reth3           false      false     
108.2.2.62/32        192.168.0.4          Reth3           false      false     
108.2.2.63/32        192.168.0.4          Reth3           false      false     
108.2.2.82/32        192.168.0.4          Reth3           false      false     
108.2.2.84/32        192.168.0.4          Reth3           false      false     
108.2.2.87/32        192.168.0.4          Reth3           false      false     
108.2.2.120/32       192.168.0.4          Reth3           false      false     
108.2.5.104/32       192.168.0.4          Reth3           false      false     
108.2.5.105/32       192.168.0.4          Reth3           false      false     
108.2.5.106/32       192.168.0.4          Reth3           false      false     
108.2.5.107/32       192.168.0.4          Reth3           false      false     
108.2.21.1/32        192.168.0.4          Reth3           false      false     
108.2.21.2/32        192.168.0.4          Reth3           false      false     
108.2.21.3/32        192.168.0.4          Reth3           false      false     
108.2.21.33/32       192.168.0.4          Reth3           false      false     
108.2.21.34/32       192.168.0.4          Reth3           false      false     
108.2.21.97/32       192.168.0.4          Reth3           false      false     
108.2.21.98/32       192.168.0.4          Reth3           false      false     
108.2.21.177/32      192.168.0.4          Reth3           false      false     
108.2.21.178/32      192.168.0.4          Reth3           false      false     
108.2.114.69/32      192.168.0.4          Reth3           false      false     
108.2.114.70/32      192.168.0.4          Reth3           false      false     
108.2.114.82/32      192.168.0.4          Reth3           false      false     
108.6.13.28/32       192.168.0.4          Reth3           false      false     
108.6.13.74/32       192.168.0.4          Reth3           false      false     
108.6.13.116/32      192.168.0.4          Reth3           false      false     
108.6.13.118/32      192.168.0.4          Reth3           false      false     
108.6.13.127/32      192.168.0.4          Reth3           false      false     
108.221.130.13/32    192.168.0.4          Reth3           false      false     
108.221.133.1/32     192.168.0.4          Reth3           false      false     
108.221.133.2/32     192.168.0.4          Reth3           false      false     
128.1.80.1/32        192.168.0.4          Reth3           false      false     
128.1.80.2/32        192.168.0.4          Reth3           false      false     
128.1.80.40/32       192.168.0.4          Reth3           false      false     
128.1.80.41/32       192.168.0.4          Reth3           false      false     
128.1.80.42/32       192.168.0.4          Reth3           false      false     
138.40.138.21/32     192.168.0.4          Reth3           false      false     
138.41.138.21/32     192.168.0.4          Reth3           false      false     
150.32.3.53/32       192.168.0.4          Reth3           false      false     
150.32.3.72/32       192.168.0.4          Reth3           false      false     
